code,floor,tradingDate,time,tradingDate_Time,open,high,low,last,adLast,accumulatedVal,accumulatedVol,lastVol
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95959E+11,16408900,500
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95965E+11,16409100,200
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95968E+11,16409200,100
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95983E+11,16409700,500
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96043E+11,16411700,2000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.96065E+11,16412400,700
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.3,30.3,4.93811E+11,16337900,1200
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.3,30.3,4.94077E+11,16346700,8800
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94171E+11,16349800,3100
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94174E+11,16349900,100
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94177E+11,16350000,100
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94207E+11,16351000,1000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94222E+11,16351500,500
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94253E+11,16352500,1000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.94404E+11,16357500,5000
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95414E+11,16390900,33400
TCB,HOSE,23/05/2025,14:26:07,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,4.95565E+11,16395900,5000
